RANK,MOVEMENT,PLAYER_ID,PLAYER,STATUS,PAR 4 AVG,TOTAL PAR
1,0,46046,Scottie Scheffler,-73,3.92,3456
2,1,35450,Patrick Cantlay,-50,3.93,2760
3,-1,47993,Denny McCarthy,-44,3.96,3980
4,0,28089,Jason Day,-36,3.95,3088
5,2,46717,Viktor Hovland,-30,3.97,3452
6,2,46970,Jon Rahm,-28,3.96,2680
6,-1,46414,Aaron Rai,-28,3.97,4192
8,0,48081,Xander Schauffele,-27,3.96,2940
9,-3,33653,Thomas Detry,-26,3.97,3636
9,-1,27644,Brian Harman,-26,3.97,3528
9,2,34363,Tyrrell Hatton,-26,3.97,3008
12,-1,24502,Adam Scott,-24,3.96,2624
13,0,55182,Tom Kim,-23,3.97,3352
14,4,28237,Rory McIlroy,-22,3.96,2448
15,5,34098,Russell Henley,-20,3.97,3160
15,0,36799,Stephan Jaeger,-20,3.98,4576
17,-3,45242,Kevin Yu,-19,3.97,2292
18,8,25900,Lucas Glover,-18,3.98,3588
19,-1,22371,Aaron Baddeley,-16,3.98,2988
19,-4,32102,Rickie Fowler,-16,3.98,3576
21,3,33948,Byeong Hun An,-15,3.99,4300
22,2,39977,Max Homa,-14,3.98,3192
22,0,52374,Brandon Wu,-14,3.99,4084
24,-9,51766,Wyndham Clark,-13,3.99,3936
24,2,39324,J.J. Spaun,-13,3.99,3592
26,4,30926,Chris Kirk,-12,3.99,3552
27,-6,29725,Tony Finau,-11,3.99,3248
27,-5,30927,Brendon Todd,-11,3.99,3844
29,-3,56630,Akshay Bhatia,-10,3.98,2488
30,-1,33141,Keegan Bradley,-7,3.99,3008
30,8,39971,Sungjae Im,-7,3.99,3992
32,1,39997,Corey Conners,-6,3.99,3232
32,-1,50188,S.H. Kim,-6,3.99,4188
34,-1,49947,Taylor Moore,-5,3.99,3772
35,4,30911,Tommy Fleetwood,-4,3.99,2840
36,-1,54591,Ben Griffin,-3,4.00,4164
37,-2,27129,Luke List,-2,4.00,3184
37,-5,55789,Taylor Montgomery,-2,4.00,3592
39,2,25493,Nick Taylor,-1,4.00,3292
40,4,35532,Tom Hoge,E,4.00,3892
40,-1,28252,Seamus Power,E,4.00,3372
42,-1,39954,Cody Gribble,+1,4.00,2260
42,10,35461,Beau Hossler,+1,4.00,3844
42,16,50525,Collin Morikawa,+1,4.00,2976
42,-1,54783,Dylan Wu,+1,4.00,3716
46,-2,32839,Hideki Matsuyama,+2,4.00,3528
47,0,33413,Ben Martin,+3,4.00,3708
48,1,57362,Austin Eckroat,+4,4.00,3460
48,-1,49771,J.T. Poston,+4,4.00,3856
48,4,37275,Sam Ryder,+4,4.00,3712
51,-2,47591,Eric Cole,+5,4.00,4404
52,-3,55708,Hayden Buckley,+6,4.01,2976
52,0,34563,Chesson Hadley,+6,4.01,3204
52,0,40162,Justin Lower,+6,4.01,3700
52,0,51890,Greyson Sigg,+6,4.01,3828
52,-17,46340,Alex Smalley,+6,4.01,4108
57,1,34255,Joseph Bramlett,+7,4.01,3356
57,1,24925,Jonathan Byrd,+7,4.01,2108
57,1,46442,Maverick McNealy,+7,4.01,2408
57,7,22405,Justin Rose,+7,4.01,2732
61,2,45522,Christiaan Bezuidenhout,+8,4.01,3464
61,13,33399,Adam Hadwin,+8,4.01,3432
61,7,37455,Si Woo Kim,+8,4.01,3704
64,-20,36801,Mark Hubbard,+9,4.01,4044
64,0,28775,Nate Lashley,+9,4.01,3736
64,-6,39546,Keith Mitchell,+9,4.01,3524
64,0,27963,Chris Stroud,+9,4.02,1972
68,0,57975,Harry Hall,+11,4.01,3588
68,0,27349,Alex Noren,+11,4.01,2976
68,0,24140,Sean O'Hair,+11,4.03,1740
71,1,51997,Andrew Novak,+12,4.01,3284
71,11,51634,Sahith Theegala,+12,4.01,3944
71,1,49964,Aaron Wise,+12,4.03,1872
74,-7,51070,Vincent Norrman,+13,4.02,3364
75,0,39975,Michael Kim,+14,4.02,3620
75,0,25818,Scott Piercy,+14,4.02,3360
75,0,55893,Sam Stevens,+14,4.01,3836
78,15,45157,Cam Davis,+15,4.02,3280
78,0,52375,Doug Ghim,+15,4.02,3284
78,0,31577,Tano Goya,+15,4.02,2996
81,1,59018,Ryan Gerard,+16,4.03,2096
81,1,39058,Lucas Herbert,+16,4.03,1912
83,3,32366,Kevin Chappell,+17,4.04,1836
83,3,29535,Brice Garnett,+17,4.02,3036
83,3,29289,S.Y. Noh,+17,4.03,2476
86,7,34256,Andrew Putnam,+18,4.02,4236
86,4,34046,Jordan Spieth,+18,4.03,2732
88,2,19803,Ryan Armour,+19,4.02,3196
88,2,56762,Will Gordon,+19,4.02,3960
88,5,57366,Cameron Young,+19,4.02,3208
91,2,22056,Cameron Percy,+20,4.04,2052
91,-9,49960,Sepp Straka,+20,4.02,3640
93,4,49453,Trevor Cone,+21,4.03,2860
93,4,45609,Tyler Duncan,+21,4.03,3360
93,11,31646,Emiliano Grillo,+21,4.02,4056
93,-15,36699,Patrick Rodgers,+21,4.02,4120
97,2,54421,Garrick Higgo,+22,4.02,3884
97,-11,23108,Matt Kuchar,+22,4.03,3484
97,2,47995,Davis Riley,+22,4.02,3660
97,10,40115,Adam Svensson,+22,4.02,4264
97,2,32150,Michael Thompson,+22,4.05,1888
102,0,49298,Kramer Hickok,+23,4.03,3312
102,0,52513,Carson Young,+23,4.03,3568
104,0,27214,Kevin Streelman,+24,4.03,3628
104,0,35617,Martin Trainer,+24,4.05,1964
106,1,39067,MJ Daffue,+25,4.03,3780
106,-28,40098,Matt Fitzpatrick,+25,4.04,2804
106,1,33597,Harry Higgs,+25,4.03,2876
106,1,26596,Ryan Moore,+25,4.04,2588
110,2,46441,Robby Shelton,+26,4.03,3652
110,2,33448,Justin Thomas,+26,4.04,2912
112,0,47504,Sam Burns,+27,4.03,3120
112,-5,54628,Lee Hodges,+27,4.03,4064
114,1,47988,Nick Hardy,+28,4.03,3980
115,0,23320,Ryan Palmer,+29,4.04,2652
115,0,39335,Kevin Roy,+29,4.04,2604
115,0,34610,Matthias Schwab,+29,4.03,3644
118,1,32333,Kevin Tway,+30,4.03,3636
119,1,46435,Austin Cook,+31,4.05,2716
120,1,36326,David Lipsky,+32,4.04,3540
120,1,30163,Henrik Norlander,+32,4.04,3164
122,1,37338,Zecheng Dou,+33,4.04,3436
123,1,33204,Shane Lowry,+34,4.05,2712
123,1,53165,Doc Redman,+34,4.05,2564
125,2,40058,Zac Blair,+35,4.05,2588
125,2,47983,Chad Ramey,+35,4.04,3828
125,2,26476,Chez Reavie,+35,4.04,3636
125,2,48699,Callum Tarren,+35,4.04,3404
129,2,12716,Charley Hoffman,+36,4.05,2716
129,8,47347,Adam Schenk,+36,4.03,4340
129,2,34431,Robert Streb,+36,4.05,2728
132,1,47079,Harrison Endycott,+37,4.05,3108
132,1,33122,Russell Knox,+37,4.04,3948
134,1,20229,Stewart Cink,+38,4.05,2816
134,-10,34099,Harris English,+38,4.04,3888
134,1,35879,Kelly Kraft,+38,4.05,2840
137,0,32448,James Hahn,+39,4.05,2860
138,1,31560,Brian Stuard,+40,4.07,2396
138,1,50493,Justin Suh,+40,4.04,4056
140,1,23983,Luke Donald,+41,4.09,1924
140,1,32757,Patton Kizzire,+41,4.05,3352
142,1,27936,Martin Laird,+42,4.06,2872
142,1,33410,Andrew Landry,+42,4.06,2700
142,1,48867,Matti Schmid,+42,4.07,2564
145,1,25686,Jason Dufner,+43,4.06,3096
145,1,29420,Billy Horschel,+43,4.06,2728
145,1,31323,Gary Woodland,+43,4.05,3492
148,1,27554,Scott Harrington,+44,4.07,2684
148,1,24024,Zach Johnson,+44,4.06,2792
148,1,32791,K.H. Lee,+44,4.05,3672
151,1,33408,Tyson Alexander,+45,4.06,3196
151,1,58168,Davis Thompson,+45,4.06,3240
151,1,32139,Danny Willett,+45,4.06,2868
154,1,36724,Augusto Núñez,+46,4.06,2988
154,1,50095,Austin Smotherman,+46,4.05,3428
154,1,48887,Matt Wallace,+46,4.06,3232
154,1,55454,Carl Yuan,+46,4.07,2628
158,2,52372,Cameron Champ,+47,4.08,2384
159,3,34076,Joel Dahmen,+48,4.06,3324
159,3,51349,Nico Echavarria,+48,4.07,2604
159,3,51414,Brent Grant,+48,4.07,2788
159,3,49766,Hank Lebioda,+48,4.10,2012
159,3,40250,Taylor Pendrith,+48,4.05,3508
164,-9,48117,Kurt Kitayama,+49,4.07,2780
165,2,35506,Mackenzie Hughes,+50,4.07,3040
165,-5,36871,Matt NeSmith,+50,4.06,3492
167,1,40006,Erik van Rooyen,+52,4.08,2604
167,1,25632,Jimmy Walker,+52,4.07,2988
169,1,30692,Scott Stallings,+53,4.07,3076
170,1,35449,Adam Long,+54,4.05,3940
171,1,46601,Trey Mullinax,+57,4.08,2952
171,1,48119,Ben Taylor,+57,4.06,3676
173,1,52411,Kyle Westmoreland,+58,4.09,2644
174,1,29221,Webb Simpson,+59,4.11,2132
175,1,32640,Troy Merritt,+61,4.08,2996
175,1,58967,Trevor Werbylo,+61,4.09,2784
177,1,34466,Peter Malnati,+62,4.08,3164
178,1,31557,Jim Herman,+63,4.09,2760
178,1,47128,Richy Werenski,+63,4.08,3356
180,1,25198,Francesco Molinari,+65,4.14,1920
181,1,32662,Michael Gligic,+66,4.11,2468
181,1,35901,Paul Haley II,+66,4.08,3292
183,1,34409,David Lingmerth,+67,4.08,3244
184,1,27095,Nick Watney,+72,4.11,2596
185,1,51491,Brandon Matthews,+76,4.13,2320
186,1,28420,Ryan Brehm,+77,4.10,3172
187,1,29970,Dylan Frittelli,+78,4.12,2696
188,1,51950,Max McGreevy,+100,4.12,3228