RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR OR BETTER,MISSED GIR
1,0,27644,Brian Harman,67.44%,321,476
2,0,28089,Jason Day,66.82%,286,428
3,0,24925,Jonathan Byrd,66.35%,207,312
4,0,23108,Matt Kuchar,65.76%,315,479
5,3,39324,J.J. Spaun,65.74%,309,470
6,-1,51997,Andrew Novak,65.46%,307,469
7,-1,33948,Byeong Hun An,65.34%,428,655
8,-1,30911,Tommy Fleetwood,65.20%,281,431
9,0,22371,Aaron Baddeley,64.75%,281,434
10,0,46442,Maverick McNealy,64.65%,256,396
11,2,32839,Hideki Matsuyama,64.54%,313,485
11,0,22056,Cameron Percy,64.54%,182,282
13,8,34256,Andrew Putnam,64.51%,369,572
14,6,39977,Max Homa,64.32%,292,454
15,-3,40098,Matt Fitzpatrick,64.27%,268,417
15,3,30927,Brendon Todd,64.27%,358,557
17,-2,47993,Denny McCarthy,64.23%,361,562
18,5,34363,Tyrrell Hatton,64.22%,271,422
19,-1,47591,Eric Cole,64.17%,419,653
20,-5,49947,Taylor Moore,64.16%,358,558
21,-4,46435,Austin Cook,64.08%,273,426
21,1,34098,Russell Henley,64.08%,264,412
23,-9,46046,Scottie Scheffler,63.90%,239,374
24,17,25900,Lucas Glover,63.76%,292,458
25,11,35450,Patrick Cantlay,63.53%,223,351
26,-2,34099,Harris English,63.43%,366,577
27,1,48081,Xander Schauffele,63.36%,249,393
28,-2,50188,S.H. Kim,63.24%,418,661
29,8,37455,Si Woo Kim,63.14%,334,529
30,-5,33653,Thomas Detry,63.13%,351,556
31,11,34046,Jordan Spieth,63.12%,255,404
32,14,39971,Sungjae Im,63.04%,353,560
33,-6,31577,Tano Goya,63.03%,266,422
34,6,30926,Chris Kirk,62.87%,320,509
35,-6,30163,Henrik Norlander,62.84%,274,436
36,-4,22405,Justin Rose,62.78%,248,395
37,6,33399,Adam Hadwin,62.66%,292,466
38,-4,52375,Doug Ghim,62.50%,255,408
39,16,36799,Stephan Jaeger,62.44%,364,583
40,-2,32139,Danny Willett,62.39%,292,468
41,2,35461,Beau Hossler,62.37%,353,566
42,-3,45522,Christiaan Bezuidenhout,62.35%,318,510
43,17,40115,Adam Svensson,62.29%,365,586
44,-11,51766,Wyndham Clark,62.11%,341,549
45,0,27963,Chris Stroud,62.04%,170,274
46,10,46970,Jon Rahm,62.01%,204,329
47,-12,32102,Rickie Fowler,62.00%,297,479
47,0,36699,Patrick Rodgers,62.00%,372,600
49,-18,29725,Tony Finau,61.94%,262,423
49,1,47347,Adam Schenk,61.94%,376,607
51,-3,24140,Sean O'Hair,61.92%,161,260
52,-3,35506,Mackenzie Hughes,61.81%,293,474
53,-1,34466,Peter Malnati,61.71%,332,538
53,-1,25818,Scott Piercy,61.71%,324,525
55,-1,49298,Kramer Hickok,61.69%,285,462
56,0,26596,Ryan Moore,61.64%,225,365
57,16,55182,Tom Kim,61.63%,265,430
58,-7,46717,Viktor Hovland,61.55%,293,476
59,-1,36724,Augusto Núñez,61.52%,251,408
60,-1,23983,Luke Donald,61.49%,190,309
61,0,27349,Alex Noren,61.34%,284,463
62,6,54591,Ben Griffin,61.33%,368,600
63,-1,57362,Austin Eckroat,61.31%,309,504
64,0,54628,Lee Hodges,61.28%,364,594
65,-2,51890,Greyson Sigg,61.15%,318,520
66,0,46340,Alex Smalley,61.11%,330,540
67,2,47504,Sam Burns,61.07%,298,488
68,-2,37275,Sam Ryder,60.89%,341,560
69,1,46441,Robby Shelton,60.85%,345,567
70,-5,36801,Mark Hubbard,60.77%,347,571
71,0,31560,Brian Stuard,60.75%,243,400
72,1,55789,Taylor Montgomery,60.70%,363,598
73,3,46414,Aaron Rai,60.67%,324,534
74,1,39975,Michael Kim,60.60%,303,500
75,-3,25493,Nick Taylor,60.59%,289,477
76,6,28237,Rory McIlroy,60.37%,198,328
77,11,45157,Cam Davis,60.36%,271,449
78,-1,34431,Robert Streb,60.25%,244,405
79,-1,32333,Kevin Tway,60.19%,313,520
80,-1,32640,Troy Merritt,60.13%,282,469
81,-1,24024,Zach Johnson,60.10%,241,401
82,-1,47079,Harrison Endycott,60.09%,277,461
83,0,33410,Andrew Landry,59.86%,258,431
84,15,49771,J.T. Poston,59.77%,306,512
85,-1,34563,Chesson Hadley,59.68%,262,439
86,-1,34255,Joseph Bramlett,59.65%,272,456
87,-1,35449,Adam Long,59.63%,356,597
88,-1,57975,Harry Hall,59.53%,306,514
89,0,32150,Michael Thompson,59.45%,173,291
89,0,54783,Dylan Wu,59.45%,283,476
91,0,26476,Chez Reavie,59.43%,290,488
92,0,30692,Scott Stallings,59.39%,272,458
93,0,40058,Zac Blair,59.38%,228,384
94,0,32791,K.H. Lee,59.37%,301,507
95,0,47983,Chad Ramey,59.35%,327,551
96,0,25632,Jimmy Walker,59.31%,277,467
97,0,40162,Justin Lower,59.30%,322,543
98,2,48887,Matt Wallace,59.18%,287,485
99,2,39954,Cody Gribble,59.16%,197,333
100,29,51634,Sahith Theegala,59.13%,353,597
101,5,31646,Emiliano Grillo,59.08%,322,545
102,0,28775,Nate Lashley,58.98%,289,490
103,-5,28252,Seamus Power,58.96%,283,480
104,-1,32757,Patton Kizzire,58.95%,303,514
105,-1,27214,Kevin Streelman,58.94%,310,526
106,-1,39067,MJ Daffue,58.89%,318,540
107,0,34409,David Lingmerth,58.83%,313,532
108,13,50525,Collin Morikawa,58.74%,215,366
109,-1,12716,Charley Hoffman,58.73%,222,378
109,26,48117,Kurt Kitayama,58.73%,249,424
111,-2,33448,Justin Thomas,58.70%,253,431
112,-2,33413,Ben Martin,58.65%,295,503
113,-2,49964,Aaron Wise,58.56%,171,292
114,-2,29535,Brice Garnett,58.54%,233,398
114,-2,39335,Kevin Roy,58.54%,216,369
116,-2,54421,Garrick Higgo,58.46%,318,544
117,-1,34610,Matthias Schwab,58.39%,327,560
117,-1,58168,Davis Thompson,58.39%,268,459
119,-1,58967,Trevor Werbylo,58.37%,258,442
120,-1,27936,Martin Laird,58.25%,233,400
121,-1,39058,Lucas Herbert,58.23%,184,316
122,-7,35532,Tom Hoge,58.17%,306,526
123,20,39546,Keith Mitchell,58.02%,282,486
124,-2,24502,Adam Scott,57.98%,218,376
124,-2,50095,Austin Smotherman,57.98%,298,514
126,7,39997,Corey Conners,57.93%,241,416
126,-2,33122,Russell Knox,57.93%,285,492
128,2,51070,Vincent Norrman,57.91%,249,430
129,-3,35879,Kelly Kraft,57.89%,253,437
130,4,36871,Matt NeSmith,57.85%,269,465
131,11,55893,Sam Stevens,57.77%,305,528
132,-5,32366,Kevin Chappell,57.75%,149,258
133,-5,29289,S.Y. Noh,57.71%,202,350
134,-10,33141,Keegan Bradley,57.62%,242,420
134,-3,35901,Paul Haley II,57.62%,291,505
136,-4,48119,Ben Taylor,57.58%,319,554
137,2,52374,Brandon Wu,57.48%,319,555
138,-2,56630,Akshay Bhatia,57.36%,187,326
138,-2,45242,Kevin Yu,57.36%,148,258
140,-2,51349,Nico Echavarria,57.35%,234,408
141,-1,59018,Ryan Gerard,57.27%,189,330
141,-1,33597,Harry Higgs,57.27%,252,440
143,1,47128,Richy Werenski,57.09%,314,550
144,1,29221,Webb Simpson,57.01%,187,328
145,1,35617,Martin Trainer,57.00%,171,300
146,1,33408,Tyson Alexander,56.80%,280,493
147,1,40250,Taylor Pendrith,56.78%,272,479
148,1,46601,Trey Mullinax,56.77%,260,458
149,1,34076,Joel Dahmen,56.70%,275,485
150,1,29970,Dylan Frittelli,56.66%,268,473
151,1,37338,Zecheng Dou,56.65%,277,489
151,1,33204,Shane Lowry,56.65%,213,376
153,1,25686,Jason Dufner,56.64%,243,429
154,1,31323,Gary Woodland,56.58%,271,479
155,1,52513,Carson Young,56.55%,272,481
156,1,25198,Francesco Molinari,56.48%,183,324
157,1,49766,Hank Lebioda,56.46%,166,294
158,1,19803,Ryan Armour,56.32%,245,435
159,2,55708,Hayden Buckley,56.09%,221,394
160,0,45609,Tyler Duncan,56.04%,246,439
161,10,57366,Cameron Young,56.00%,238,425
162,0,47988,Nick Hardy,55.85%,296,530
163,-1,29420,Billy Horschel,55.80%,226,405
164,0,50493,Justin Suh,55.74%,335,601
165,0,20229,Stewart Cink,55.61%,228,410
166,1,36326,David Lipsky,55.40%,277,500
167,1,49453,Trevor Cone,55.37%,201,363
168,1,27554,Scott Harrington,55.30%,219,396
169,-3,49960,Sepp Straka,55.17%,267,484
170,0,48699,Callum Tarren,55.06%,261,474
171,1,51950,Max McGreevy,54.82%,290,529
172,5,47995,Davis Riley,54.60%,291,533
173,0,55454,Carl Yuan,54.59%,208,381
174,0,31557,Jim Herman,54.42%,203,373
175,0,23320,Ryan Palmer,54.34%,194,357
176,0,32662,Michael Gligic,54.10%,211,390
177,1,28420,Ryan Brehm,53.89%,263,488
178,1,27095,Nick Watney,53.72%,224,417
179,1,48867,Matti Schmid,53.48%,200,374
180,1,32448,James Hahn,53.12%,213,401
181,1,52411,Kyle Westmoreland,53.06%,208,392
182,1,27129,Luke List,52.80%,226,428
183,1,40006,Erik van Rooyen,52.59%,203,386
184,1,53165,Doc Redman,52.48%,180,343
185,1,56762,Will Gordon,52.07%,264,507
186,1,52372,Cameron Champ,51.53%,168,326
187,1,51414,Brent Grant,51.39%,203,395
188,1,51491,Brandon Matthews,50.43%,177,351