RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:ARG,MEASURED ROUNDS
1,0,24925,Jonathan Byrd,0.525,16.805,32
2,0,22371,Aaron Baddeley,0.475,25.673,54
3,0,30927,Brendon Todd,0.441,33.070,75
4,0,33948,Byeong Hun An,0.438,37.244,85
5,0,46046,Scottie Scheffler,0.412,27.187,66
6,1,33448,Justin Thomas,0.411,25.884,63
7,2,36799,Stephan Jaeger,0.390,37.442,96
8,-2,23108,Matt Kuchar,0.381,27.448,72
9,4,35506,Mackenzie Hughes,0.376,23.287,62
10,1,27349,Alex Noren,0.368,22.077,60
11,-3,30911,Tommy Fleetwood,0.349,18.868,54
11,1,54591,Ben Griffin,0.349,28.238,81
13,3,46435,Austin Cook,0.325,14.645,45
14,4,32839,Hideki Matsuyama,0.319,22.018,69
15,-5,28237,Rory McIlroy,0.315,15.729,50
16,-2,30926,Chris Kirk,0.314,21.698,69
17,2,48887,Matt Wallace,0.293,18.444,63
18,-3,22405,Justin Rose,0.290,14.509,50
19,2,34466,Peter Malnati,0.277,17.992,65
20,-3,28089,Jason Day,0.272,15.228,56
20,2,46441,Robby Shelton,0.272,20.110,74
22,21,34046,Jordan Spieth,0.267,14.425,54
23,9,55789,Taylor Montgomery,0.257,19.554,76
24,-4,32102,Rickie Fowler,0.254,18.576,73
25,1,39977,Max Homa,0.246,16.008,65
26,-3,29725,Tony Finau,0.241,15.692,65
27,0,32791,K.H. Lee,0.237,16.386,69
28,1,31577,Tano Goya,0.234,12.651,54
28,-4,39971,Sungjae Im,0.234,17.991,77
30,0,34610,Matthias Schwab,0.233,16.338,70
31,0,49964,Aaron Wise,0.227,8.386,37
32,-7,35461,Beau Hossler,0.223,16.985,76
33,3,51766,Wyndham Clark,0.212,16.567,78
33,1,40098,Matt Fitzpatrick,0.212,11.685,55
35,3,47591,Eric Cole,0.211,18.973,90
35,0,57975,Harry Hall,0.211,13.528,64
37,8,51634,Sahith Theegala,0.209,16.321,78
38,-2,34098,Russell Henley,0.205,12.696,62
39,0,27214,Kevin Streelman,0.198,15.037,76
40,0,50188,S.H. Kim,0.194,17.256,89
41,0,40058,Zac Blair,0.192,9.999,52
42,0,24502,Adam Scott,0.191,9.929,52
43,-10,36699,Patrick Rodgers,0.182,14.340,79
44,-16,34099,Harris English,0.180,13.483,75
45,7,36801,Mark Hubbard,0.174,13.573,78
45,2,35449,Adam Long,0.174,13.033,75
47,1,34255,Joseph Bramlett,0.170,11.587,68
48,1,59018,Ryan Gerard,0.167,7.339,44
49,1,23983,Luke Donald,0.161,6.621,41
50,1,51997,Andrew Novak,0.159,9.380,59
51,1,31560,Brian Stuard,0.158,6.789,43
52,26,35450,Patrick Cantlay,0.157,8.485,54
53,12,45157,Cam Davis,0.156,10.584,68
54,0,46442,Maverick McNealy,0.154,7.093,46
55,3,46970,Jon Rahm,0.153,7.957,52
56,-1,45242,Kevin Yu,0.149,6.121,41
57,-11,28252,Seamus Power,0.148,9.015,61
58,-1,30692,Scott Stallings,0.146,8.174,56
59,3,34256,Andrew Putnam,0.143,11.710,82
60,-1,45522,Christiaan Bezuidenhout,0.142,9.949,70
61,2,39324,J.J. Spaun,0.141,10.148,72
62,2,32640,Troy Merritt,0.134,7.651,57
63,-3,37455,Si Woo Kim,0.131,9.527,73
64,-8,46414,Aaron Rai,0.128,10.634,83
65,0,48117,Kurt Kitayama,0.123,6.290,51
66,-22,25493,Nick Taylor,0.119,7.481,63
67,2,25686,Jason Dufner,0.115,6.686,58
68,6,40115,Adam Svensson,0.103,9.047,88
69,-9,34363,Tyrrell Hatton,0.100,5.828,58
69,1,32139,Danny Willett,0.100,5.275,53
71,-3,47993,Denny McCarthy,0.099,7.986,81
72,0,25632,Jimmy Walker,0.093,6.030,65
73,0,58967,Trevor Werbylo,0.085,4.153,49
74,-7,33653,Thomas Detry,0.083,5.312,64
75,0,33204,Shane Lowry,0.082,4.577,56
75,0,58168,Davis Thompson,0.082,5.899,72
77,0,34431,Robert Streb,0.081,4.144,51
78,1,32366,Kevin Chappell,0.078,2.249,29
78,1,27936,Martin Laird,0.078,4.435,57
80,2,24140,Sean O'Hair,0.071,1.856,26
81,3,52375,Doug Ghim,0.070,4.573,65
82,3,51890,Greyson Sigg,0.069,5.210,76
83,3,33408,Tyson Alexander,0.068,4.129,61
84,3,37338,Zecheng Dou,0.066,4.417,67
85,6,55182,Tom Kim,0.062,3.953,64
86,12,46340,Alex Smalley,0.059,4.834,82
87,18,50525,Collin Morikawa,0.058,3.126,54
88,3,36326,David Lipsky,0.057,4.079,71
88,0,48081,Xander Schauffele,0.057,3.103,54
90,3,51950,Max McGreevy,0.055,3.154,57
91,3,20229,Stewart Cink,0.054,3.192,59
92,3,35901,Paul Haley II,0.051,3.188,62
93,4,28775,Nate Lashley,0.047,3.404,73
94,-13,33399,Adam Hadwin,0.044,3.189,73
95,4,29420,Billy Horschel,0.043,2.232,52
96,-14,47504,Sam Burns,0.042,2.722,65
96,-7,47347,Adam Schenk,0.042,3.554,85
98,11,46717,Viktor Hovland,0.039,2.410,62
98,5,51070,Vincent Norrman,0.039,2.487,63
100,-11,49771,J.T. Poston,0.038,2.871,75
101,-1,29535,Brice Garnett,0.036,2.039,56
101,-1,54783,Dylan Wu,0.036,2.501,70
103,-1,47079,Harrison Endycott,0.035,1.969,57
104,-1,34076,Joel Dahmen,0.030,1.906,63
105,0,12716,Charley Hoffman,0.028,1.354,49
105,0,39975,Michael Kim,0.028,1.788,65
107,3,49947,Taylor Moore,0.016,1.198,73
108,-13,33141,Keegan Bradley,0.010,0.605,59
109,2,29970,Dylan Frittelli,0.006,0.290,50
110,3,30163,Henrik Norlander,0.005,0.303,57
111,4,57362,Austin Eckroat,0.003,0.220,65
112,4,33597,Harry Higgs,0.001,0.061,48
112,4,22056,Cameron Percy,0.001,0.035,36
114,-3,55893,Sam Stevens,-0.001,-0.102,72
115,3,32757,Patton Kizzire,-0.002,-0.143,70
115,3,25818,Scott Piercy,-0.002,-0.147,59
115,-2,57366,Cameron Young,-0.002,-0.124,60
118,2,33122,Russell Knox,-0.003,-0.242,71
119,12,25900,Lucas Glover,-0.005,-0.334,72
119,-11,27644,Brian Harman,-0.005,-0.345,68
121,8,39546,Keith Mitchell,-0.006,-0.437,71
122,-1,36871,Matt NeSmith,-0.011,-0.783,71
123,-1,47983,Chad Ramey,-0.014,-1.044,77
124,-1,48119,Ben Taylor,-0.015,-1.056,72
125,5,39997,Corey Conners,-0.018,-1.128,64
126,-1,24024,Zach Johnson,-0.020,-1.057,53
127,-1,32150,Michael Thompson,-0.026,-1.053,41
128,-1,54421,Garrick Higgo,-0.027,-2.186,80
128,-1,36724,Augusto Núñez,-0.027,-1.402,51
130,-6,52374,Brandon Wu,-0.031,-2.405,78
131,1,29221,Webb Simpson,-0.055,-2.508,46
132,1,34409,David Lingmerth,-0.067,-3.900,58
133,1,27963,Chris Stroud,-0.071,-2.409,34
134,1,46601,Trey Mullinax,-0.084,-5.435,65
134,1,47128,Richy Werenski,-0.084,-5.103,61
136,1,49298,Kramer Hickok,-0.087,-5.838,67
137,5,35532,Tom Hoge,-0.091,-6.853,75
138,3,29289,S.Y. Noh,-0.103,-4.205,41
139,4,23320,Ryan Palmer,-0.117,-6.573,56
140,-2,37275,Sam Ryder,-0.122,-8.900,73
141,-3,49960,Sepp Straka,-0.125,-8.622,69
142,2,32333,Kevin Tway,-0.132,-9.351,71
143,2,35617,Martin Trainer,-0.136,-4.216,31
144,5,31646,Emiliano Grillo,-0.138,-10.510,76
145,1,40250,Taylor Pendrith,-0.142,-10.346,73
146,1,19803,Ryan Armour,-0.150,-8.979,60
147,1,39954,Cody Gribble,-0.155,-6.357,41
148,-8,54628,Lee Hodges,-0.165,-13.386,81
149,1,27554,Scott Harrington,-0.167,-7.693,46
150,1,39067,MJ Daffue,-0.172,-11.507,67
151,1,52411,Kyle Westmoreland,-0.175,-8.559,49
152,1,27095,Nick Watney,-0.177,-8.505,48
153,1,39335,Kevin Roy,-0.185,-8.509,46
154,2,26596,Ryan Moore,-0.201,-10.227,51
155,2,26476,Chez Reavie,-0.205,-15.805,77
156,2,33410,Andrew Landry,-0.206,-10.942,53
157,-2,47988,Nick Hardy,-0.211,-16.026,76
158,1,56630,Akshay Bhatia,-0.214,-9.624,45
159,1,25198,Francesco Molinari,-0.215,-7.952,37
160,1,40162,Justin Lower,-0.229,-16.294,71
161,1,55454,Carl Yuan,-0.233,-12.585,54
162,1,27129,Luke List,-0.255,-17.369,68
163,1,32448,James Hahn,-0.262,-16.000,61
164,1,50095,Austin Smotherman,-0.270,-18.911,70
165,1,51349,Nico Echavarria,-0.295,-14.173,48
166,3,47995,Davis Riley,-0.300,-21.020,70
167,0,48699,Callum Tarren,-0.303,-20.922,69
168,0,35879,Kelly Kraft,-0.305,-17.668,58
169,1,31557,Jim Herman,-0.318,-17.501,55
170,1,39058,Lucas Herbert,-0.325,-12.360,38
171,1,33413,Ben Martin,-0.331,-23.475,71
172,1,31323,Gary Woodland,-0.340,-25.162,74
173,1,53165,Doc Redman,-0.341,-19.105,56
174,1,34563,Chesson Hadley,-0.359,-22.601,63
175,1,52513,Carson Young,-0.370,-23.691,64
176,1,49766,Hank Lebioda,-0.374,-12.334,33
177,1,50493,Justin Suh,-0.389,-33.443,86
178,1,40006,Erik van Rooyen,-0.401,-17.638,44
179,1,49453,Trevor Cone,-0.410,-22.160,54
180,1,56762,Will Gordon,-0.417,-33.396,80
181,1,48867,Matti Schmid,-0.428,-18.413,43
182,1,32662,Michael Gligic,-0.436,-18.761,43
183,1,45609,Tyler Duncan,-0.445,-29.358,66
184,1,28420,Ryan Brehm,-0.446,-27.660,62
185,1,51414,Brent Grant,-0.482,-22.179,46
186,1,55708,Hayden Buckley,-0.521,-30.189,58
187,1,52372,Cameron Champ,-0.698,-32.108,46
188,1,51491,Brandon Matthews,-0.905,-34.385,38