RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,46442,Maverick McNealy,1.058,48.662,46
2,0,55789,Taylor Montgomery,0.884,67.220,76
3,0,47993,Denny McCarthy,0.751,60.852,81
4,1,48081,Xander Schauffele,0.651,35.136,54
5,5,34256,Andrew Putnam,0.645,52.886,82
6,1,50493,Justin Suh,0.635,54.632,86
7,-3,34363,Tyrrell Hatton,0.619,35.873,58
8,3,57975,Harry Hall,0.607,38.819,64
9,0,39977,Max Homa,0.596,38.771,65
10,-2,37275,Sam Ryder,0.587,42.820,73
11,3,49947,Taylor Moore,0.585,42.720,73
12,-6,47504,Sam Burns,0.583,37.923,65
13,6,30911,Tommy Fleetwood,0.556,30.038,54
14,-2,47591,Eric Cole,0.531,47.819,90
15,0,27349,Alex Noren,0.519,31.119,60
15,-2,30927,Brendon Todd,0.519,38.913,75
17,5,40162,Justin Lower,0.471,33.426,71
18,6,34466,Peter Malnati,0.463,30.079,65
19,6,24502,Adam Scott,0.462,24.012,52
20,6,22371,Aaron Baddeley,0.459,24.798,54
21,15,33399,Adam Hadwin,0.457,33.347,73
22,5,49964,Aaron Wise,0.456,16.869,37
23,5,23983,Luke Donald,0.454,18.605,41
24,-3,46970,Jon Rahm,0.451,23.462,52
25,-9,28089,Jason Day,0.446,24.996,56
25,-8,40098,Matt Fitzpatrick,0.446,24.514,55
27,5,51634,Sahith Theegala,0.441,34.430,78
28,-10,33141,Keegan Bradley,0.433,25.542,59
29,-7,28252,Seamus Power,0.423,25.795,61
30,-1,35450,Patrick Cantlay,0.422,22.786,54
31,-11,34099,Harris English,0.417,31.288,75
32,-1,48119,Ben Taylor,0.412,29.676,72
33,0,47347,Adam Schenk,0.409,34.762,85
34,0,29289,S.Y. Noh,0.401,16.429,41
35,0,34563,Chesson Hadley,0.392,24.680,63
36,-6,32102,Rickie Fowler,0.384,28.042,73
37,4,22405,Justin Rose,0.382,19.118,50
38,1,35449,Adam Long,0.380,28.498,75
39,1,27644,Brian Harman,0.358,24.352,68
40,2,29420,Billy Horschel,0.347,18.041,52
41,2,51766,Wyndham Clark,0.344,26.848,78
42,-4,25493,Nick Taylor,0.339,21.343,63
43,7,49771,J.T. Poston,0.329,24.680,75
44,0,47983,Chad Ramey,0.321,24.702,77
45,0,47128,Richy Werenski,0.319,19.485,61
46,0,35879,Kelly Kraft,0.312,18.089,58
47,-11,40115,Adam Svensson,0.309,27.158,88
48,-1,54783,Dylan Wu,0.307,21.484,70
49,-1,33597,Harry Higgs,0.304,14.570,48
50,-1,51997,Andrew Novak,0.284,16.738,59
51,7,35506,Mackenzie Hughes,0.275,17.067,62
52,0,33653,Thomas Detry,0.263,16.835,64
53,2,50188,S.H. Kim,0.238,21.139,89
54,2,39058,Lucas Herbert,0.232,8.816,38
55,-2,39971,Sungjae Im,0.226,17.407,77
56,1,45522,Christiaan Bezuidenhout,0.223,15.641,70
57,2,28420,Ryan Brehm,0.218,13.511,62
58,3,52513,Carson Young,0.212,13.537,64
59,3,29535,Brice Garnett,0.207,11.602,56
60,7,54591,Ben Griffin,0.205,16.643,81
60,3,48867,Matti Schmid,0.205,8.811,43
62,-2,36699,Patrick Rodgers,0.202,15.924,79
63,1,31560,Brian Stuard,0.191,8.204,43
64,1,32150,Michael Thompson,0.186,7.610,41
65,-14,35461,Beau Hossler,0.185,14.078,76
66,6,54628,Lee Hodges,0.165,13.377,81
67,-2,30926,Chris Kirk,0.156,10.747,69
68,0,24024,Zach Johnson,0.154,8.136,53
69,-15,49960,Sepp Straka,0.146,10.105,69
70,13,35532,Tom Hoge,0.137,10.241,75
71,6,34046,Jordan Spieth,0.135,7.276,54
72,-1,53165,Doc Redman,0.134,7.484,56
73,0,57362,Austin Eckroat,0.126,8.190,65
74,0,32333,Kevin Tway,0.120,8.508,71
75,-5,23108,Matt Kuchar,0.118,8.474,72
76,-1,32139,Danny Willett,0.115,6.096,53
77,-1,46717,Viktor Hovland,0.112,6.965,62
78,3,31646,Emiliano Grillo,0.103,7.815,76
79,-10,39546,Keith Mitchell,0.102,7.237,71
80,4,28237,Rory McIlroy,0.099,4.951,50
81,-4,40058,Zac Blair,0.095,4.955,52
81,-4,28775,Nate Lashley,0.095,6.908,73
83,3,55708,Hayden Buckley,0.093,5.390,58
84,6,47988,Nick Hardy,0.091,6.915,76
85,-3,25632,Jimmy Walker,0.083,5.372,65
86,-1,29970,Dylan Frittelli,0.071,3.538,50
87,-10,36801,Mark Hubbard,0.069,5.369,78
88,-1,50095,Austin Smotherman,0.057,3.956,70
89,0,34409,David Lingmerth,0.051,2.961,58
90,1,39975,Michael Kim,0.023,1.516,65
90,1,33410,Andrew Landry,0.023,1.216,53
92,2,27963,Chris Stroud,0.008,0.283,34
93,2,32791,K.H. Lee,0.004,0.253,69
94,2,22056,Cameron Percy,-0.002,-0.077,36
95,2,25818,Scott Piercy,-0.007,-0.435,59
96,2,58967,Trevor Werbylo,-0.009,-0.425,49
97,2,40250,Taylor Pendrith,-0.014,-1.000,73
97,2,51890,Greyson Sigg,-0.014,-1.095,76
99,-6,48117,Kurt Kitayama,-0.020,-1.037,51
100,1,47079,Harrison Endycott,-0.033,-1.863,57
101,1,54421,Garrick Higgo,-0.037,-2.962,80
101,1,26476,Chez Reavie,-0.037,-2.833,77
103,15,39997,Corey Conners,-0.049,-3.130,64
104,0,27095,Nick Watney,-0.053,-2.555,48
105,1,50525,Collin Morikawa,-0.056,-3.001,54
106,-1,19803,Ryan Armour,-0.059,-3.554,60
107,0,36799,Stephan Jaeger,-0.060,-5.715,96
108,4,55182,Tom Kim,-0.062,-3.980,64
109,-1,39067,MJ Daffue,-0.073,-4.882,67
109,-1,46441,Robby Shelton,-0.073,-5.422,74
111,-23,29725,Tony Finau,-0.076,-4.955,65
112,-1,33413,Ben Martin,-0.077,-5.501,71
113,10,34098,Russell Henley,-0.082,-5.099,62
114,-1,29221,Webb Simpson,-0.083,-3.801,46
115,-1,24140,Sean O'Hair,-0.085,-2.217,26
116,-1,49453,Trevor Cone,-0.087,-4.718,54
116,-1,27214,Kevin Streelman,-0.087,-6.581,76
118,-8,52374,Brandon Wu,-0.092,-7.173,78
119,-2,32757,Patton Kizzire,-0.093,-6.496,70
120,0,47995,Davis Riley,-0.107,-7.495,70
121,-2,25198,Francesco Molinari,-0.108,-3.997,37
122,-1,33204,Shane Lowry,-0.114,-6.398,56
123,1,33948,Byeong Hun An,-0.121,-10.324,85
123,-1,26596,Ryan Moore,-0.121,-6.193,51
125,5,32839,Hideki Matsuyama,-0.131,-9.022,69
126,-1,20229,Stewart Cink,-0.133,-7.859,59
126,-1,58168,Davis Thompson,-0.133,-9.549,72
126,-1,48887,Matt Wallace,-0.133,-8.350,63
129,-1,27936,Martin Laird,-0.134,-7.648,57
130,-1,51349,Nico Echavarria,-0.141,-6.758,48
131,0,35901,Paul Haley II,-0.143,-8.894,62
132,0,31577,Tano Goya,-0.144,-7.760,54
133,0,48699,Callum Tarren,-0.181,-12.495,69
134,0,55454,Carl Yuan,-0.185,-9.969,54
135,0,45609,Tyler Duncan,-0.192,-12.699,66
136,1,35617,Martin Trainer,-0.194,-6.003,31
137,1,32366,Kevin Chappell,-0.196,-5.673,29
138,1,40006,Erik van Rooyen,-0.197,-8.683,44
139,1,32448,James Hahn,-0.199,-12.134,61
140,2,33408,Tyson Alexander,-0.205,-12.513,61
141,3,52375,Doug Ghim,-0.207,-13.486,65
142,4,55893,Sam Stevens,-0.209,-15.017,72
143,-1,39324,J.J. Spaun,-0.210,-15.086,72
144,3,33448,Justin Thomas,-0.222,-13.993,63
145,3,56762,Will Gordon,-0.224,-17.915,80
146,-11,46046,Scottie Scheffler,-0.225,-14.849,66
147,2,24925,Jonathan Byrd,-0.227,-7.251,32
148,4,45157,Cam Davis,-0.231,-15.733,68
149,-8,37455,Si Woo Kim,-0.232,-16.912,73
150,1,49298,Kramer Hickok,-0.238,-15.921,67
151,-1,36871,Matt NeSmith,-0.241,-17.098,71
152,1,46414,Aaron Rai,-0.248,-20.598,83
153,1,39954,Cody Gribble,-0.265,-10.871,41
154,2,32662,Michael Gligic,-0.284,-12.194,43
155,3,34255,Joseph Bramlett,-0.297,-20.186,68
156,3,46435,Austin Cook,-0.298,-13.417,45
157,-12,51070,Vincent Norrman,-0.302,-19.044,63
158,2,46601,Trey Mullinax,-0.308,-20.000,65
159,2,33122,Russell Knox,-0.322,-22.831,71
160,6,25900,Lucas Glover,-0.334,-24.053,72
161,-6,46340,Alex Smalley,-0.336,-27.578,82
162,0,49766,Hank Lebioda,-0.341,-11.246,33
163,0,34610,Matthias Schwab,-0.375,-26.263,70
164,0,52411,Kyle Westmoreland,-0.394,-19.314,49
165,0,59018,Ryan Gerard,-0.397,-17.460,44
166,1,57366,Cameron Young,-0.421,-25.286,60
167,1,39335,Kevin Roy,-0.428,-19.674,46
168,1,30692,Scott Stallings,-0.439,-24.579,56
169,1,34431,Robert Streb,-0.447,-22.793,51
170,1,52372,Cameron Champ,-0.454,-20.894,46
171,1,36326,David Lipsky,-0.459,-32.618,71
172,1,23320,Ryan Palmer,-0.487,-27.284,56
173,1,51950,Max McGreevy,-0.488,-27.811,57
174,1,36724,Augusto Núñez,-0.494,-25.170,51
175,1,37338,Zecheng Dou,-0.497,-33.312,67
176,1,30163,Henrik Norlander,-0.523,-29.784,57
177,1,56630,Akshay Bhatia,-0.537,-24.169,45
178,1,31557,Jim Herman,-0.538,-29.581,55
179,1,31323,Gary Woodland,-0.568,-42.012,74
180,1,12716,Charley Hoffman,-0.632,-30.960,49
181,1,32640,Troy Merritt,-0.646,-36.842,57
182,1,34076,Joel Dahmen,-0.687,-43.298,63
183,1,27554,Scott Harrington,-0.726,-33.419,46
184,1,25686,Jason Dufner,-0.759,-44.027,58
185,1,45242,Kevin Yu,-0.760,-31.141,41
186,1,27129,Luke List,-0.826,-56.187,68
187,1,51414,Brent Grant,-1.069,-49.170,46
188,1,51491,Brandon Matthews,-1.077,-40.945,38